"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.532436558,      -3.477018033,      -3.257238389,      -2.511247259
          0,           0,           1,      -3.885673686,      -3.675182735,      -3.606538105,      -2.855994568
          0,           0,           2,      -4.020893097,      -3.732975446,      -3.701091081,      -2.989360391
          0,           0,           3,      -4.171853967,      -3.798770162,       -3.80685573,      -3.142637318
          0,           0,           4,      -4.296974148,       -3.88276694,      -3.921914364,       -3.27279872
          0,           0,           5,      -4.399227079,      -3.949756584,      -4.030260516,      -3.377520091
          0,           0,           6,      -4.492500453,      -4.015210438,      -4.142723919,      -3.469300451
          0,           0,           7,      -4.581191049,      -4.076549479,       -4.25624108,      -3.556028863
          0,           0,           8,      -4.664614023,      -4.122552883,       -4.35521435,      -3.639024467
          0,           0,           9,      -4.745724949,      -4.170772289,      -4.454928566,      -3.720445401
          0,           0,          10,      -4.815753798,      -4.215575093,      -4.549640758,      -3.790281412
          0,           0,          11,      -4.886685076,      -4.256132734,      -4.629781088,      -3.861180238
          0,           0,          12,      -4.958303635,       -4.29883943,      -4.705399358,      -3.930188847
          0,           0,          13,      -5.028581685,      -4.344977314,      -4.772714912,      -3.998212978
          0,           0,          14,      -5.098073775,      -4.389459635,      -4.829841939,      -4.068186876
          0,           0,          15,      -5.163445949,      -4.436518093,      -4.890992794,      -4.133310038
          0,           0,          16,      -5.223967011,      -4.487012836,      -4.954708522,      -4.192946201
          0,           0,          17,      -5.284072515,      -4.534676803,      -5.016366054,      -4.252662693
          0,           0,          18,      -5.339818219,      -4.583607596,      -5.083499454,      -4.306782785
          0,           0,          19,      -5.393874442,      -4.634836468,      -5.146891766,      -4.359060466
          0,           0,          20,      -5.456246262,      -4.686029541,      -5.202897664,      -4.420469979
          0,           0,          21,      -5.517384467,      -4.738217645,      -5.259640529,      -4.480488211
          0,           0,          22,      -5.576891901,      -4.792010084,      -5.312928803,      -4.539293496
          0,           0,          23,      -5.640334668,      -4.843214125,        -5.3604958,      -4.602695745
          0,           0,          24,      -5.701999963,      -4.896578992,       -5.41488414,      -4.664766762
          0,           0,          25,      -5.753594361,      -4.949963106,      -5.471074619,      -4.717798916
          0,           0,          26,      -5.809985751,      -5.000662688,      -5.523775175,      -4.774657592
          0,           0,          27,      -5.861679372,      -5.052197165,      -5.585415079,      -4.826839953
          0,           0,          28,      -5.912559386,      -5.105344608,      -5.649098971,      -4.877569727
          0,           0,          29,      -5.970980798,      -5.155912666,      -5.704662432,      -4.934688166
          0,           0,          30,      -6.026671218,      -5.207229241,      -5.765662332,      -4.989698619
          0,           0,          31,      -6.078729334,      -5.259461141,      -5.825650426,      -5.042007822
          0,           0,          32,      -6.137117694,      -5.310035779,      -5.876836396,      -5.100419084
          0,           0,          33,      -6.192412842,      -5.362687134,      -5.934884294,      -5.157237301
          0,           0,          34,      -6.242526034,       -5.41625097,      -5.992900755,      -5.209676592
          0,           0,          35,      -6.295811664,      -5.470955667,      -6.048572439,      -5.264385004
          0,           0,          36,      -6.352385608,      -5.526073959,      -6.104325472,      -5.321546867
          0,           0,          37,      -6.409174938,      -5.581230091,      -6.162076426,      -5.378757168
          0,           0,          38,      -6.469830639,      -5.632957944,      -6.211940368,      -5.439465324
          0,           0,          39,      -6.527490225,      -5.684951675,      -6.270163438,      -5.498330905
          0,           0,          40,      -6.579776456,      -5.737384453,       -6.32973569,      -5.552838991
          0,           0,          41,       -6.62810037,      -5.790269663,      -6.386504103,      -5.603950792
          0,           0,          42,      -6.680497082,      -5.839904054,      -6.431599293,       -5.65829606
          0,           0,          43,      -6.733041369,      -5.891333847,      -6.486673743,      -5.713559245
          0,           0,          44,      -6.779185749,      -5.942732491,      -6.542987444,      -5.762924601
          0,           0,          45,       -6.82747207,      -5.990508916,      -6.587374102,      -5.813780489
          0,           0,          46,      -6.876063772,      -6.039534568,      -6.639614026,      -5.865400742
          0,           0,          47,      -6.921078809,      -6.088624175,      -6.692588825,      -5.913404772
          0,           0,          48,      -6.969311636,      -6.134340742,      -6.737225735,      -5.964451047
          0,           0,          49,      -7.015321838,      -6.180322929,      -6.787412541,      -6.014089583
          0,           0,          50,      -7.054599576,      -6.225823949,      -6.834967211,       -6.05737419
          0,           0,          51,      -7.096997161,      -6.268440906,      -6.876877572,      -6.104306308
          0,           0,          52,      -7.136418254,        -6.3114756,      -6.921547005,       -6.14864113
          0,           0,          53,       -7.17047418,      -6.354340129,      -6.962522722,       -6.18756127
          0,           0,          54,      -7.207911797,      -6.394896191,      -6.999706148,      -6.230488724
          0,           0,          55,      -7.243071495,      -6.435882611,      -7.037461606,      -6.270659278
          0,           0,          56,      -7.272561098,      -6.476460288,       -7.06757145,      -6.304298065
          0,           0,          57,      -7.309997626,      -6.515438044,      -7.106066484,      -6.348083542
          0,           0,          58,      -7.342737478,      -6.554319746,      -7.140040877,      -6.385414494
          0,           0,          59,       -7.36903065,      -6.592409025,      -7.162690537,      -6.414622243
          0,           0,          60,      -7.401275578,      -6.629140858,      -7.194512779,      -6.452380182
          0,           0,          61,      -7.435465265,      -6.666089539,       -7.23124687,      -6.491639784
          0,           0,          62,      -7.459402004,      -6.701818965,      -7.249996534,      -6.517373937
          0,           0,          63,       -7.48921205,       -6.73681363,       -7.28109852,      -6.552427663
          0,           0,          64,      -7.518387983,      -6.771656253,      -7.309349044,      -6.584680395
          0,           0,          65,      -7.544267903,      -6.805952171,      -7.330302668,      -6.612582046
          0,           0,          66,      -7.573800539,      -6.839977527,      -7.363346977,      -6.647616031
          0,           0,          67,      -7.601301058,      -6.873632856,      -7.389539652,      -6.677114682
          0,           0,          68,      -7.623217616,       -6.90639038,      -7.402495803,      -6.698704147
          0,           0,          69,       -7.65664912,      -6.940355418,      -7.442150588,      -6.739467603
          0,           0,          70,      -7.683835278,       -6.97333443,      -7.468728275,        -6.7681941
          0,           0,          71,      -7.707817956,      -7.005766463,      -7.487520621,      -6.793313841
          0,           0,          72,      -7.737098432,      -7.039690781,       -7.51933359,      -6.825023558
          0,           0,          73,      -7.767753113,      -7.072937688,      -7.550466802,      -6.859603842
          0,           0,          74,      -7.790506381,      -7.104707155,      -7.566995056,       -6.88249194
          0,           0,          75,      -7.818519598,      -7.138019608,       -7.59681008,      -6.912300341
          0,           0,          76,      -7.844018208,      -7.170001341,        -7.6181576,      -6.938923308
          0,           0,          77,      -7.871063438,      -7.201731291,      -7.640928714,      -6.968197832
          0,           0,          78,      -7.900135962,       -7.23487869,      -7.673586088,      -6.999853342
          0,           0,          79,      -7.924530465,      -7.266445829,      -7.694092657,      -7.024643191
          0,           0,          80,      -7.947619916,       -7.29721691,      -7.710126246,      -7.047471482
          0,           0,          81,      -7.981778895,      -7.331022263,      -7.750555451,      -7.086962664
          0,           0,          82,      -8.006272677,      -7.362555035,      -7.772357647,      -7.111868263
          0,           0,          83,      -8.028209502,       -7.39305227,       -7.78704193,      -7.132440634
          0,           0,          84,      -8.056891667,       -7.42586844,      -7.817755814,      -7.162826559
          0,           0,          85,      -8.088079357,      -7.458298491,      -7.849130079,      -7.198154241
          0,           0,          86,       -8.11071986,      -7.488883307,      -7.866365307,      -7.219668549
          0,           0,          87,       -8.13924531,      -7.521793476,      -7.897850607,      -7.249713771
          0,           0,          88,      -8.165339088,      -7.553220648,        -7.9209864,      -7.276385491
          0,           0,          89,      -8.193481969,      -7.584599887,      -7.945897317,      -7.306400201
          0,           0,          90,       -8.22370816,      -7.617957002,      -7.981008534,      -7.339321516
          0,           0,          91,      -8.249037499,      -7.649332075,      -8.003881648,      -7.364493119
          0,           0,          92,      -8.273256221,      -7.679762832,      -8.022419811,      -7.387705672
          0,           0,          93,      -8.308967815,      -7.714233459,      -8.065356243,      -7.429405383
