"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.697563623,      -3.697688337,      -3.579523723,      -2.976888224
          0,           0,           1,      -3.943961928,      -3.837071369,      -3.809279976,      -3.218683402
          0,           0,           2,      -3.941410096,      -3.892509431,      -3.835854523,      -3.221641136
          0,           0,           3,      -3.992263155,      -3.948782777,      -3.911468239,       -3.27024755
          0,           0,           4,      -4.043931258,       -4.01054102,      -3.993731287,      -3.329201056
          0,           0,           5,      -4.104327416,      -4.054434193,      -4.075608083,       -3.38835821
          0,           0,           6,      -4.186698598,      -4.110958424,      -4.169076348,      -3.463508344
          0,           0,           7,       -4.25323615,      -4.166792791,      -4.271647902,      -3.535512567
          0,           0,           8,      -4.320959034,      -4.220480882,      -4.375279289,      -3.599388609
          0,           0,           9,      -4.387579492,       -4.26748275,        -4.4653927,      -3.657347494
          0,           0,          10,      -4.433236381,      -4.310055811,      -4.544206621,      -3.711683665
          0,           0,          11,      -4.479694028,      -4.353332537,      -4.615453724,       -3.75580285
          0,           0,          12,      -4.537208696,      -4.398364635,       -4.68523856,      -3.803978918
          0,           0,          13,      -4.588439186,      -4.445431943,      -4.757688414,      -3.863168202
          0,           0,          14,      -4.640938947,      -4.489466095,      -4.831062448,      -3.912950271
          0,           0,          15,      -4.706880537,       -4.53141025,      -4.898251815,      -3.969064771
          0,           0,          16,      -4.776023477,      -4.571676992,      -4.961014288,      -4.032084552
          0,           0,          17,      -4.835743893,      -4.617904204,      -5.020098173,      -4.103304164
          0,           0,          18,      -4.884128332,      -4.660641421,      -5.077184633,      -4.154517282
          0,           0,          19,      -4.936977418,      -4.701762218,      -5.128476102,      -4.198519276
          0,           0,          20,      -4.980118677,      -4.742595764,      -5.174138417,       -4.23420937
          0,           0,          21,      -5.013453628,       -4.78850913,      -5.226506092,      -4.280749286
          0,           0,          22,      -5.032731255,      -4.830571364,      -5.280544726,         -4.303226
          0,           0,          23,      -5.067884514,      -4.872106633,      -5.333947193,      -4.330497475
          0,           0,          24,      -5.122648314,       -4.91670189,      -5.395193463,       -4.37727852
          0,           0,          25,      -5.193680963,       -4.96445245,       -5.46118856,       -4.45506612
          0,           0,          26,      -5.265289955,      -5.011970957,      -5.530264934,      -4.527285427
          0,           0,          27,      -5.349877748,      -5.061433439,      -5.596945417,      -4.604910813
          0,           0,          28,      -5.445605122,      -5.113637699,      -5.661423433,      -4.692290405
          0,           0,          29,      -5.529666328,      -5.165420618,      -5.720506954,      -4.780065434
          0,           0,          30,       -5.59091464,      -5.218037615,      -5.783895017,      -4.844409161
          0,           0,          31,      -5.630105661,      -5.270805692,      -5.827285974,      -4.882721453
          0,           0,          32,      -5.642910151,      -5.324136689,      -5.845926855,      -4.894429439
          0,           0,          33,      -5.646921654,      -5.373748146,      -5.872655074,      -4.911482086
          0,           0,          34,      -5.630412102,      -5.420458526,      -5.893535882,      -4.897970361
          0,           0,          35,      -5.604919635,      -5.460764181,      -5.897338481,      -4.868889225
          0,           0,          36,      -5.583950933,      -5.497532493,      -5.909233379,      -4.847593605
          0,           0,          37,      -5.568782861,      -5.528440954,      -5.911323576,      -4.829144266
          0,           0,          38,      -5.590412108,      -5.576985464,      -5.968953613,      -4.863503757
          0,           0,          39,      -5.606810189,      -5.612726453,      -6.005449907,      -4.879524565
          0,           0,          40,       -5.63465462,      -5.647129102,      -6.028676026,      -4.898858551
          0,           0,          41,      -5.671583451,      -5.685637748,      -6.059535674,      -4.929595506
          0,           0,          42,      -5.719286059,      -5.730893831,      -6.105945154,      -4.975107999
          0,           0,          43,       -5.77431916,      -5.776117954,      -6.150990405,      -5.028009092
          0,           0,          44,        -5.8428538,      -5.830680545,      -6.214351791,      -5.102566714
          0,           0,          45,      -5.903395473,        -5.8804975,      -6.263632098,      -5.163924656
          0,           0,          46,      -5.956559883,      -5.927065025,      -6.294499264,      -5.213519069
          0,           0,          47,      -6.009670289,      -5.976733878,      -6.334981992,      -5.274258703
          0,           0,          48,      -6.039519912,      -6.023256317,      -6.364339943,      -5.306907263
          0,           0,          49,      -6.046950524,      -6.056949773,      -6.370404339,      -5.311504453
          0,           0,          50,      -6.032302172,      -6.073921359,      -6.351819732,      -5.293406839
          0,           0,          51,      -6.035065301,      -6.107187757,      -6.391567639,      -5.308261399
          0,           0,          52,      -6.025455053,      -6.119881296,      -6.399473889,      -5.299332741
          0,           0,          53,      -6.010800362,      -6.117600671,      -6.382383083,      -5.278417844
          0,           0,          54,      -5.996690237,      -6.111662585,      -6.372857381,      -5.258998995
          0,           0,          55,      -6.012583871,      -6.145620146,      -6.437705228,      -5.286681178
          0,           0,          56,      -6.023094537,      -6.156701134,      -6.461493917,       -5.29696478
          0,           0,          57,      -6.040945207,      -6.165901334,      -6.468807042,      -5.306668861
          0,           0,          58,      -6.065821972,      -6.179512396,      -6.483558689,       -5.32511489
          0,           0,          59,      -6.110130378,      -6.221954156,      -6.545668695,      -5.379243529
          0,           0,          60,      -6.148158223,      -6.253184957,      -6.583595446,      -5.418478911
          0,           0,          61,      -6.186507774,      -6.279048214,      -6.603426348,      -5.450302226
          0,           0,          62,       -6.22046182,      -6.302723705,      -6.612875025,       -5.47811288
          0,           0,          63,      -6.263068195,      -6.345138446,      -6.661617252,      -5.530213973
          0,           0,          64,      -6.291127011,      -6.374457428,      -6.685052102,      -5.560613055
