"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.204390023,      -15.67293824,      -15.94150169,      -3.483714624,      -10.57148812
          0,           0,           1,      -4.684097362,      -4.403694474,      -4.299386045,      -3.940282055,      -10.58129886
          0,           0,           2,      -4.663338977,      -4.405202222,      -4.587987542,       -3.91465715,      -10.62388063
          0,           0,           3,      -4.623027622,      -4.438003203,       -4.52587421,      -3.890483173,      -10.56009565
          0,           0,           4,      -4.539957844,      -4.439825995,      -4.451053151,      -3.808200286,      -10.54192563
          0,           0,           5,      -4.492483105,      -4.434437226,      -4.444496484,      -3.756209154,      -10.53841028
          0,           0,           6,      -4.470767874,      -4.433671943,      -4.473496926,      -3.728038861,      -10.54105812
          0,           0,           7,      -4.460582234,       -4.43579604,      -4.495556295,      -3.711994935,      -10.54761699
          0,           0,           8,      -4.454602292,      -4.436970866,      -4.492032599,       -3.70219951,      -10.54914288
          0,           0,           9,      -4.449200342,      -4.434909969,      -4.475286421,      -3.694811287,      -10.53782811
          0,           0,          10,      -4.441929116,      -4.426229538,      -4.457386222,      -3.686097722,      -10.51561535
          0,           0,          11,      -4.431665247,         -4.409509,      -4.441011697,       -3.67409183,      -10.48957509
          0,           0,          12,      -4.420442515,      -4.387596063,      -4.426381726,      -3.660961334,      -10.46367455
          0,           0,          13,      -4.412981236,      -4.365573147,      -4.414674536,      -3.651936355,       -10.4379064
          0,           0,          14,      -4.413200233,      -4.347025008,      -4.407341289,      -3.651175857,      -10.41215839
          0,           0,          15,      -4.421961271,        -4.3324798,      -4.404865546,      -3.659367252,      -10.38660803
          0,           0,          16,      -4.437014993,      -4.320788742,      -4.406717136,      -3.673860776,      -10.36237837
          0,           0,          17,      -4.454223139,       -4.31113041,      -4.411919995,      -3.690227475,      -10.34155702
          0,           0,          18,      -4.469534328,      -4.303712319,      -4.419882115,      -3.704496767,       -10.3256621
          0,           0,          19,      -4.480923672,      -4.299094984,      -4.430622651,      -3.714932455,      -10.31552016
          0,           0,          20,      -4.489082431,      -4.297416642,      -4.444346642,      -3.722333795,      -10.31147109
          0,           0,          21,      -4.496559453,      -4.298327702,      -4.460917723,       -3.72907163,      -10.31326669
          0,           0,          22,      -4.506037031,      -4.301332319,      -4.479492259,      -3.737648798,      -10.32087497
          0,           0,          23,      -4.518542189,       -4.30595775,      -4.498797443,      -3.749125072,      -10.33467056
          0,           0,          24,      -4.532646167,      -4.311547995,      -4.517286124,      -3.762280128,      -10.35439181
          0,           0,          25,      -4.544946077,       -4.31699989,      -4.533241952,      -3.773819736,      -10.37964898
          0,           0,          26,      -4.551712462,      -4.320830494,      -4.545392396,      -3.779715815,      -10.41027669
          0,           0,          27,      -4.551454092,      -4.321713395,      -4.553739872,      -3.777834134,      -10.44438832
          0,           0,          28,      -4.546422814,      -4.319221173,      -4.559973923,      -3.769977116,      -10.47958475
          0,           0,          29,      -4.541371767,      -4.314159255,      -4.566939389,      -3.761007042,      -10.51061035
          0,           0,          30,      -4.541006367,      -4.308208733,       -4.57733516,      -3.756121642,      -10.53035212
          0,           0,          31,       -4.54824364,      -4.303219047,      -4.592499344,      -3.758840938,      -10.53398006
          0,           0,          32,      -4.563575009,      -4.300668469,      -4.611603057,      -3.770312542,      -10.52167279
          0,           0,          33,       -4.58504059,      -4.301480929,      -4.631327709,      -3.789361694,      -10.49696146
          0,           0,          34,      -4.608571285,      -4.306112041,      -4.646766613,      -3.812750994,      -10.46356918
          0,           0,          35,      -4.629223811,      -4.314715256,      -4.654298674,      -3.835867975,       -10.4252627
          0,           0,          36,       -4.64357069,      -4.327299899,      -4.654726596,      -3.854401589,       -10.3844149
          0,           0,          37,      -4.651792829,      -4.343826995,       -4.65321334,      -3.866618453,      -10.34206149
          0,           0,          38,      -4.657424923,      -4.364203732,      -4.656223951,      -3.874362332,      -10.29868636
          0,           0,          39,       -4.66504419,      -4.388184758,      -4.668905927,      -3.881655801,      -10.25477939
          0,           0,          40,      -4.678241888,      -4.415249462,      -4.694208815,      -3.892491082,      -10.21075061
          0,           0,          41,      -4.698854706,      -4.444544458,      -4.732719018,      -3.909528967,      -10.16721827
          0,           0,          42,      -4.727039184,      -4.474971648,      -4.782105008,      -3.933884493,        -10.125059
          0,           0,          43,      -4.761476795,       -4.50545083,      -4.835826224,      -3.965300749,      -10.08499773
          0,           0,          44,      -4.799567271,      -4.535274766,      -4.882555941,      -4.002332775,      -10.04754533
          0,           0,          45,      -4.837811862,      -4.564354251,      -4.910990069,      -4.042444011,      -10.01299872
          0,           0,          46,      -4.872772266,      -4.593130337,      -4.920037828,      -4.082234366,      -9.981487281
          0,           0,          47,       -4.90235138,      -4.622200466,       -4.92030933,      -4.118172287,      -9.952867168
          0,           0,          48,      -4.926619974,      -4.651915597,      -4.924191889,      -4.147907971,      -9.926808344
          0,           0,          49,      -4.947676758,      -4.682123142,      -4.939388009,      -4.171474201,      -9.902886443
          0,           0,          50,      -4.968649517,      -4.712173917,      -4.968969889,      -4.191337649,      -9.881023355
          0,           0,          51,      -4.992546982,      -4.741220373,      -5.012834896,      -4.211207613,      -9.860956748
          0,           0,          52,      -5.021473599,      -4.768676362,      -5.068201164,      -4.234555188,      -9.842913629
          0,           0,          53,       -5.05629324,      -4.794593094,      -5.129211472,      -4.263704478,      -9.827047539
          0,           0,          54,      -5.096520088,      -4.819727464,      -5.187027446,      -4.299514601,      -9.812735912
          0,           0,          55,      -5.140366079,      -4.845276224,      -5.233025251,      -4.341357184,      -9.800472669
          0,           0,          56,      -5.185052217,      -4.872412391,       -5.26500314,      -4.387137517,      -9.791219333
          0,           0,          57,      -5.227510666,      -4.901855193,      -5.289120969,      -4.433464142,      -9.784686014
          0,           0,          58,      -5.265381579,      -4.933685461,      -5.314213645,      -4.476418985,      -9.780649179
          0,           0,          59,      -5.297884305,      -4.967406185,       -5.34607394,      -4.513061048,      -9.778707407
          0,           0,          60,      -5.325944511,      -5.002159984,      -5.385716566,      -4.542853809,       -9.77849281
          0,           0,          61,      -5.351390062,      -5.037022298,      -5.429473844,      -4.567707479,      -9.779425424
          0,           0,          62,      -5.375798881,      -5.071275923,      -5.469886996,       -4.59050456,      -9.781098964
          0,           0,          63,      -5.399794261,       -5.10456254,      -5.499105395,       -4.61345346,      -9.783069246
          0,           0,          64,      -5.423092385,      -5.136839524,      -5.514779309,      -4.637324052,      -9.785209944
          0,           0,          65,      -5.445096043,      -5.168162087,      -5.522472233,      -4.661581864,      -9.787395604
          0,           0,          66,      -5.465664428,      -5.198430067,      -5.531157361,      -4.685151336,      -9.789628212
          0,           0,          67,       -5.48546105,      -5.227296231,      -5.547895395,      -4.707320046,      -9.792131172
          0,           0,          68,      -5.505697711,      -5.254280961,      -5.576010341,      -4.728266869,      -9.794673184
          0,           0,          69,      -5.527555067,      -5.279033916,      -5.615066565,      -4.748968753,      -9.797303425
          0,           0,          70,       -5.55156744,      -5.301610791,      -5.660482858,      -4.770594756,      -9.800362634
          0,           0,          71,       -5.57721706,      -5.322589867,      -5.702817866,      -4.793813898,      -9.803842475
          0,           0,          72,       -5.60288767,      -5.342948344,      -5.729943674,      -4.818354227,      -9.808066009
          0,           0,          73,      -5.626239036,      -5.363754817,      -5.735195863,      -4.842893623,       -9.81334696
          0,           0,          74,      -5.645166955,      -5.385804832,      -5.723721496,      -4.865458487,      -9.819372008
          0,           0,          75,      -5.658627741,      -5.409299523,      -5.706815199,      -4.884048073,      -9.825791916
          0,           0,          76,      -5.666859694,       -5.43371682,      -5.693158272,      -4.897339125,      -9.832524513
          0,           0,          77,      -5.670968267,      -5.457900384,      -5.686393058,      -4.905154785,      -9.838874197
          0,           0,          78,      -5.672217705,      -5.480345329,      -5.686458676,      -4.908366053,      -9.846068411
          0,           0,          79,      -5.671478088,      -5.499646671,      -5.691190818,      -4.908316753,      -9.853367518
          0,           0,          80,      -5.669032562,      -5.514960475,      -5.697524411,      -4.906193065,      -9.860719787
          0,           0,          81,      -5.664675677,       -5.52626248,      -5.702496017,      -4.902641219,      -9.868080399
          0,           0,          82,      -5.658031295,      -5.534244472,      -5.704153627,      -4.897756923,      -9.875419634
          0,           0,          83,      -5.648819884,       -5.53997102,      -5.702028413,      -4.891310706,      -9.882571668
