"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.203557524,      -4.213282672,      -4.078742259,      -3.482882125
          0,           0,           1,      -4.410615019,      -4.280648895,      -4.285430677,      -3.680609319
          0,           0,           2,      -4.409651239,      -4.281204638,      -4.315836998,      -3.683916148
          0,           0,           3,      -4.438177845,      -4.310633403,      -4.395892902,      -3.715163085
          0,           0,           4,      -4.485842256,      -4.343882436,      -4.489616576,      -3.760522009
          0,           0,           5,      -4.542618436,      -4.381117418,      -4.565083016,      -3.816237152
          0,           0,           6,      -4.612896992,      -4.428861345,      -4.655649295,      -3.884137596
          0,           0,           7,      -4.673937063,      -4.463323587,      -4.740914679,      -3.945938638
          0,           0,           8,      -4.730199401,      -4.491940786,      -4.822967103,      -3.997206761
          0,           0,           9,      -4.786843497,      -4.523319995,      -4.898728944,      -4.054283886
          0,           0,          10,      -4.834607999,      -4.549623792,      -4.965830576,      -4.097759308
          0,           0,          11,      -4.879268172,      -4.575433534,      -5.031975201,      -4.144162124
          0,           0,          12,      -4.921363217,      -4.600192475,      -5.099523946,      -4.181693372
          0,           0,          13,      -4.956601233,      -4.623953636,      -5.153366042,      -4.219118252
          0,           0,          14,      -4.983068903,      -4.645618642,      -5.194624577,      -4.242477674
          0,           0,          15,      -5.009349522,       -4.67331298,      -5.233822636,      -4.274218237
          0,           0,          16,      -5.029853316,      -4.697404917,      -5.258325207,      -4.292588159
          0,           0,          17,       -5.05285198,      -4.721599002,      -5.279916369,      -4.320827686
          0,           0,          18,      -5.075838895,      -4.751272585,       -5.29819981,      -4.341027101
          0,           0,          19,      -5.094030077,      -4.778985083,      -5.317366935,      -4.365150413
          0,           0,          20,      -5.099476598,      -4.806619774,      -5.327157293,      -4.368191052
          0,           0,          21,      -5.103714462,      -4.835045583,      -5.352220952,      -4.379978179
          0,           0,          22,        -5.1090322,      -4.865538188,      -5.372575788,      -4.383564359
