"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.200548463,      -4.210243659,      -4.075532199,      -3.479873064
          0,           0,           1,      -4.395786174,       -4.25900856,       -4.27130745,      -3.664996805
          0,           0,           2,      -4.390296842,      -4.257794633,      -4.297527065,      -3.663904688
          0,           0,           3,      -4.418183468,      -4.285496645,      -4.376633508,      -3.694867806
          0,           0,           4,      -4.463142491,       -4.31792571,      -4.469292465,      -3.737769813
          0,           0,           5,      -4.515909275,      -4.353803596,      -4.544540499,      -3.789795386
          0,           0,           6,      -4.580578347,       -4.39757456,      -4.632845384,      -3.852247871
          0,           0,           7,       -4.63747871,      -4.430481696,      -4.715991675,      -3.910182426
          0,           0,           8,      -4.688962932,      -4.458030594,      -4.795339048,      -3.956865582
          0,           0,           9,      -4.741093794,      -4.489219534,      -4.869064206,       -4.01026728
          0,           0,          10,      -4.785119827,      -4.515780336,      -4.934176851,      -4.050081861
          0,           0,          11,      -4.825992143,      -4.541639669,      -4.998258016,      -4.093401802
          0,           0,          12,      -4.863709895,      -4.565725669,      -5.062944117,      -4.126431917
          0,           0,          13,      -4.892519941,      -4.586661512,      -5.109513185,      -4.157780624
          0,           0,          14,      -4.916875554,      -4.611363529,      -5.146743608,      -4.179184735
          0,           0,          15,      -4.931164251,      -4.634418293,      -5.174591987,      -4.199766149
          0,           0,          16,      -4.934610062,       -4.65556092,      -5.187647139,      -4.201682716
          0,           0,          17,      -4.948898008,      -4.682437633,      -5.205136321,      -4.223274783
          0,           0,          18,      -4.959611979,      -4.707144842,      -5.208478092,      -4.232278949
          0,           0,          19,      -4.972567842,      -4.730986623,      -5.210958705,       -4.25152213
          0,           0,          20,      -4.973461521,      -4.760945544,      -5.213376121,       -4.24869781
          0,           0,          21,      -4.976029647,      -4.789479187,      -5.234773934,      -4.258396726
          0,           0,          22,      -4.974602361,      -4.817727202,      -5.251508697,      -4.253395944
          0,           0,          23,      -4.996127663,      -4.845980433,      -5.290601084,      -4.281623423
