"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.200548463,      -4.179617051,      -4.000812331,       -3.32871617
          0,           0,           1,      -4.450487811,      -4.253494395,      -4.266516494,      -3.568830785
          0,           0,           2,      -4.509055859,      -4.263503618,      -4.324521181,      -3.628470877
          0,           0,           3,      -4.602866093,      -4.304009293,      -4.423956005,      -3.722960806
          0,           0,           4,      -4.699044601,      -4.349304312,      -4.525460685,      -3.815045185
          0,           0,           5,      -4.776197803,      -4.392135212,      -4.616090142,      -3.887565605
          0,           0,           6,      -4.870841843,      -4.445210841,      -4.721187113,      -3.978764443
          0,           0,           7,      -4.947887734,      -4.481521816,      -4.815689518,      -4.052785921
          0,           0,           8,      -5.020270188,      -4.513466115,      -4.906116885,      -4.119195283
          0,           0,           9,      -5.086889526,      -4.542156545,      -4.985071798,      -4.181671742
          0,           0,          10,      -5.157971615,      -4.577896451,      -5.068662211,      -4.247661824
          0,           0,          11,       -5.21069168,      -4.605792281,      -5.136034143,      -4.296197836
          0,           0,          12,      -5.254318082,      -4.630966498,      -5.194338159,      -4.335791435
          0,           0,          13,      -5.302361446,      -4.659152396,      -5.247435762,      -4.380238594
          0,           0,          14,      -5.335194044,      -4.680818802,       -5.28756678,      -4.410740212
          0,           0,          15,      -5.380233334,      -4.707993369,      -5.331214973,      -4.455029249
          0,           0,          16,      -5.426365106,      -4.737750427,      -5.374946814,      -4.499401163
          0,           0,          17,      -5.456388497,      -4.762786415,      -5.410172357,      -4.529024288
          0,           0,          18,      -5.498932955,       -4.79237872,      -5.450046595,      -4.571197766
          0,           0,          19,      -5.538927182,      -4.823411986,      -5.486619025,      -4.609593405
          0,           0,          20,      -5.564005031,      -4.850194633,      -5.513488479,      -4.634520093
          0,           0,          21,      -5.603064322,      -4.880925798,      -5.548813223,      -4.673567875
          0,           0,          22,      -5.640123957,      -4.912044903,      -5.584075897,      -4.709720619
          0,           0,          23,        -5.6646384,      -4.938838374,      -5.612147314,       -4.73476106
          0,           0,          24,       -5.70318388,      -4.968919502,       -5.65058062,      -4.773692909
          0,           0,          25,      -5.738915977,      -4.998227882,      -5.686138782,      -4.808556801
          0,           0,          26,      -5.761535293,      -5.023251905,      -5.710538977,      -4.831624446
          0,           0,          27,      -5.799306783,       -5.05237913,      -5.744579329,      -4.869696911
          0,           0,          28,      -5.833049565,       -5.08098365,       -5.77589859,      -4.902729234
          0,           0,          29,      -5.855667421,      -5.106807258,      -5.798153223,      -4.925770529
          0,           0,          30,      -5.894177878,      -5.137242371,      -5.832431123,      -4.964838284
          0,           0,          31,      -5.927807508,      -5.167651455,      -5.865508368,      -4.998163548
          0,           0,          32,      -5.951318038,      -5.196177792,      -5.890528883,      -5.022095724
          0,           0,          33,      -5.989011601,      -5.228311359,      -5.927135905,      -5.061001094
          0,           0,          34,      -6.021147659,      -5.260726391,      -5.962214269,      -5.093290893
