"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.210065429,      -15.69178277,      -15.95104965,       -3.48939003,      -9.384338557
          0,           0,           1,      -4.679848127,      -4.253666425,      -4.306181001,      -3.922891175,      -9.804655311
          0,           0,           2,      -4.636574691,      -4.284529036,      -4.548586514,      -3.873915718,      -10.51712506
          0,           0,           3,      -4.574015137,      -4.327428032,      -4.448921803,      -3.830510621,      -10.53305721
          0,           0,           4,      -4.499340079,      -4.337268734,      -4.392367681,      -3.760778279,      -10.53207636
          0,           0,           5,       -4.45810804,      -4.338288968,      -4.395290337,      -3.715466443,      -10.52730617
          0,           0,           6,      -4.441017334,      -4.342879951,      -4.425884969,      -3.691978809,      -10.52297815
          0,           0,           7,      -4.433102886,      -4.348782924,      -4.442882133,      -3.678402824,      -10.52299891
          0,           0,           8,      -4.427381562,       -4.35199034,      -4.434261744,      -3.669312051,      -10.51928748
          0,           0,           9,      -4.422187529,      -4.350914192,      -4.416021815,      -3.662575114,      -10.50439019
          0,           0,          10,       -4.41705454,      -4.343862335,       -4.40023199,      -3.656251678,      -10.47882272
          0,           0,          11,      -4.412004429,      -4.330415376,      -4.388968342,      -3.649687426,      -10.44926091
          0,           0,          12,      -4.408764458,      -4.313365861,      -4.381508739,      -3.644843399,      -10.41856257
          0,           0,          13,      -4.410644291,      -4.296911746,      -4.377848381,      -3.645444614,      -10.38788656
          0,           0,          14,       -4.42023146,      -4.283633707,      -4.378712978,      -3.654200678,      -10.35764033
          0,           0,          15,      -4.437446917,      -4.273762581,      -4.384516676,      -3.670803245,      -10.32903515
          0,           0,          16,      -4.459229388,      -4.266610864,      -4.395067209,      -3.691829753,      -10.30423614
          0,           0,          17,      -4.480778889,      -4.262097841,      -4.410121184,      -3.712389403,      -10.28511968
          0,           0,          18,      -4.498044257,       -4.26084405,      -4.429717796,      -3.728786418,      -10.27336755
          0,           0,          19,      -4.510031443,       -4.26326724,      -4.453851129,      -3.740384909,      -10.26911734
          0,           0,          20,      -4.518744277,      -4.268980075,      -4.481830675,      -3.749037167,      -10.27284364
          0,           0,          21,      -4.527295783,      -4.276990551,      -4.511859579,      -3.757347022,      -10.28393199
          0,           0,          22,      -4.537971889,       -4.28625488,      -4.541196589,      -3.767264938,      -10.30235244
          0,           0,          23,      -4.551167651,      -4.295964825,      -4.566732334,        -3.7792836,      -10.32741355
          0,           0,          24,      -4.565034834,      -4.305390618,      -4.585769985,      -3.791941915,      -10.35914862
          0,           0,          25,      -4.576117258,      -4.313640311,      -4.596959784,      -3.802051322,      -10.39667806
          0,           0,          26,      -4.581276157,      -4.319742295,      -4.601212363,      -3.806223611,       -10.4382999
          0,           0,          27,      -4.580172933,      -4.323115177,      -4.601784531,      -3.803446993,      -10.48130277
          0,           0,          28,      -4.576157653,       -4.32404764,      -4.603200339,      -3.796568845,      -10.51978586
          0,           0,          29,      -4.574237981,      -4.323719285,      -4.609776147,      -3.790673398,      -10.54429216
          0,           0,          30,      -4.578725747,      -4.323732325,       -4.62449469,      -3.790534909,      -10.54535355
          0,           0,          31,      -4.591947426,      -4.325547113,       -4.64836465,       -3.79907362,      -10.52118558
          0,           0,          32,      -4.613907784,      -4.330147926,      -4.679774435,      -3.816985427,      -10.47774234
          0,           0,          33,      -4.642229225,      -4.338003021,      -4.713699593,      -3.842793788,       -10.4237488
          0,           0,          34,       -4.67239239,      -4.349198699,      -4.741867525,      -3.873026776,      -10.36522282
