"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.203557524,       -15.6339063,      -15.95643404,      -3.482882125,       -10.5714788
          0,           0,           1,      -4.683806829,      -4.403665413,      -4.299214586,      -3.940001725,      -10.58106067
          0,           0,           2,       -4.66255566,      -4.404190288,      -4.585883957,      -3.913642017,      -10.62268993
          0,           0,           3,       -4.62119167,       -4.43461886,      -4.521606324,      -3.887874147,      -10.55844162
          0,           0,           4,      -4.537631948,      -4.434281804,      -4.445950703,       -3.80501822,      -10.53981663
          0,           0,           5,      -4.489641533,       -4.42733455,       -4.43804418,      -3.752599212,      -10.53600739
          0,           0,           6,      -4.467399154,      -4.425170937,      -4.465119624,      -3.724031379,      -10.53816687
          0,           0,           7,      -4.456812914,      -4.425933829,      -4.485619854,      -3.707713462,      -10.54399417
          0,           0,           8,      -4.450558293,      -4.425827195,      -4.481596241,      -3.697714959,      -10.54485957
          0,           0,           9,      -4.444976011,      -4.422605648,      -4.464727823,      -3.690146931,      -10.53281196
          0,           0,          10,      -4.437675107,      -4.413070185,      -4.446594389,      -3.681366715,      -10.50978141
          0,           0,          11,      -4.427612759,      -4.395957856,      -4.429984928,      -3.669536457,      -10.48279308
          0,           0,          12,      -4.416810195,      -4.374014224,      -4.415304788,      -3.656825537,      -10.45570467
          0,           0,          13,      -4.409862203,      -4.352063146,      -4.403790313,      -3.648317027,      -10.42874645
          0,           0,          14,      -4.410583881,      -4.333542682,      -4.396883217,      -3.648048417,      -10.40181806
          0,           0,          15,       -4.41981829,      -4.319050692,      -4.395080888,      -3.656689343,      -10.37535837
          0,           0,          16,      -4.435340163,      -4.307619072,      -4.397875374,      -3.671630396,      -10.35049065
          0,           0,          17,      -4.453026937,      -4.298544541,      -4.404280537,       -3.68847972,       -10.3293614
          0,           0,          18,      -4.468812045,      -4.292015603,      -4.413647775,       -3.70326516,      -10.31357538
          0,           0,          19,      -4.480647798,      -4.288476455,      -4.425916658,      -3.714222632,      -10.30379478
          0,           0,          20,      -4.489231493,       -4.28793069,      -4.441223804,      -3.722133356,      -10.30013802
          0,           0,          21,      -4.497159336,      -4.289902078,      -4.459366068,      -3.729384023,      -10.30248439
          0,           0,          22,      -4.507148453,      -4.293780877,      -4.479427539,      -3.738489163,      -10.31104933
          0,           0,          23,      -4.520214353,      -4.299011439,      -4.500057878,      -3.750488374,      -10.32554383
          0,           0,          24,      -4.534887337,      -4.304902792,       -4.51956317,      -3.764128608,      -10.34578302
          0,           0,          25,      -4.547674747,      -4.310390585,      -4.536076838,      -3.776048105,       -10.3717217
          0,           0,          26,      -4.554737592,      -4.314103027,      -4.548242274,      -3.782139181,       -10.4028648
          0,           0,          27,      -4.554555255,      -4.314877083,        -4.5561473,      -3.780260304,      -10.43764291
          0,           0,          28,      -4.549492088,      -4.312433695,      -4.561730436,      -3.772327653,      -10.47271772
          0,           0,          29,      -4.544472496,      -4.307646299,      -4.568124806,      -3.763357537,      -10.50276305
          0,           0,          30,      -4.544337964,      -4.302172242,       -4.57823109,      -3.758657675,      -10.52113343
          0,           0,          31,      -4.552037901,      -4.297783485,      -4.593503609,      -3.761760599,      -10.52245702
          0,           0,          32,      -4.568016129,      -4.295877478,      -4.613151524,       -3.77376153,      -10.50668594
          0,           0,          33,      -4.590204416,      -4.297325081,      -4.633825115,      -3.793399824,      -10.47804358
          0,           0,          34,      -4.614395386,      -4.302563045,      -4.650483211,      -3.817345666,      -10.44080347
