"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.200548463,      -15.51350485,      -15.63435279,      -3.179359164,      -10.59388657
          0,           0,           1,      -4.772681138,      -4.254510612,      -4.230027805,      -3.728842484,      -10.68092883
          0,           0,           2,      -4.744713473,      -4.252391859,      -4.383878708,      -3.701800574,      -10.82705387
          0,           0,           3,      -4.697588519,      -4.260326534,      -4.329489922,      -3.654573087,      -10.80095966
          0,           0,           4,      -4.703699205,      -4.288211619,      -4.343342945,       -3.65500234,      -10.74608795
          0,           0,           5,      -4.696656446,      -4.320442492,       -4.38189056,       -3.63918294,      -10.71170404
          0,           0,           6,      -4.666350712,      -4.328722078,      -4.374300884,      -3.603490147,      -10.71046798
          0,           0,           7,      -4.642286131,      -4.317141878,      -4.341214731,      -3.576000255,      -10.71413366
          0,           0,           8,      -4.636135513,      -4.303300371,       -4.31880275,      -3.566132446,      -10.70507908
          0,           0,           9,      -4.643512381,      -4.292852983,      -4.311904098,      -3.569989518,      -10.68613719
          0,           0,          10,      -4.655349931,      -4.283607737,      -4.312241073,      -3.579634216,      -10.65992675
          0,           0,          11,      -4.664411724,      -4.272846662,      -4.312592752,      -3.587766154,      -10.62760478
          0,           0,          12,      -4.670843636,      -4.260836879,       -4.31156199,      -3.593494518,      -10.59060878
          0,           0,          13,      -4.679620211,       -4.24923598,      -4.311157821,      -3.601473692,      -10.55338777
          0,           0,          14,      -4.692796157,      -4.239021115,      -4.312910568,      -3.614107324,      -10.51923802
          0,           0,          15,      -4.707135896,      -4.230563893,      -4.317627029,       -3.62775885,      -10.48886389
          0,           0,          16,      -4.718612464,      -4.224317997,      -4.327034044,      -3.637141619,      -10.45966898
          0,           0,          17,       -4.72772323,       -4.22046903,      -4.343444244,      -3.642499907,      -10.42915779
          0,           0,          18,      -4.738576338,      -4.218155102,      -4.367090358,      -3.649636321,      -10.39730145
          0,           0,          19,      -4.753787911,      -4.215681517,      -4.393919896,      -3.663376278,      -10.36616149
          0,           0,          20,       -4.77268597,      -4.211994502,       -4.41744242,      -3.683743953,      -10.33828854
          0,           0,          21,      -4.794060857,      -4.207899789,      -4.435203535,      -3.707469218,      -10.31571878
          0,           0,          22,      -4.818874218,        -4.2055391,      -4.452286406,       -3.73201768,      -10.29964537
