"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.209768061,      -15.67834385,      -15.94638562,      -3.489092662,      -9.689609098
          0,           0,           1,      -4.674315773,      -4.337480124,      -4.300390089,      -3.923246949,      -10.47361919
          0,           0,           2,      -4.618348309,       -4.34377982,      -4.526544383,      -3.863151081,      -10.55705791
          0,           0,           3,       -4.55762547,      -4.377243465,      -4.447784139,      -3.819041751,      -10.54095321
          0,           0,           4,      -4.486473897,      -4.381846411,      -4.401429655,      -3.749765076,        -10.533228
          0,           0,           5,      -4.450638782,      -4.382388553,      -4.411435055,      -3.709268741,      -10.52651673
          0,           0,           6,      -4.438261285,      -4.387572741,      -4.444418813,      -3.691156336,      -10.52543043
          0,           0,           7,      -4.433558797,      -4.392172026,      -4.458929608,      -3.681416207,      -10.53043809
          0,           0,           8,      -4.430026185,      -4.393363255,      -4.448355551,      -3.674758526,      -10.53194611
          0,           0,           9,      -4.425986574,      -4.390906916,      -4.430957763,      -3.669080356,       -10.5208062
          0,           0,          10,      -4.420417545,      -4.382716853,      -4.417178144,      -3.662171454,      -10.49957816
          0,           0,          11,      -4.414067892,      -4.368117858,      -4.407729646,      -3.654260411,      -10.47422873
          0,           0,          12,      -4.410035023,       -4.35021529,      -4.401271537,      -3.648670893,      -10.44867701
          0,           0,          13,      -4.411906675,       -4.33334963,      -4.397738762,      -3.649338703,      -10.42290151
          0,           0,          14,      -4.421507435,      -4.319783661,      -4.397826486,      -3.658165521,      -10.39652871
          0,           0,          15,      -4.437968794,      -4.309173751,      -4.401787058,      -3.674006884,      -10.37032575
          0,           0,          16,      -4.458147742,      -4.300478314,      -4.409217363,      -3.693305943,       -10.3465147
          0,           0,          17,      -4.478076612,      -4.293621987,      -4.419791147,      -3.711965341,      -10.32744669
          0,           0,          18,      -4.494901478,      -4.289431503,       -4.43377818,      -3.727450334,       -10.3144938
          0,           0,          19,      -4.508184112,      -4.288587228,       -4.45158074,      -3.739701416,      -10.30836956
          0,           0,          20,       -4.51950243,      -4.291038648,      -4.473143448,      -3.750307012,      -10.30956726
          0,           0,          21,       -4.53104428,      -4.296212953,      -4.497593323,      -3.761173052,      -10.31818708
          0,           0,          22,      -4.544184607,      -4.303450134,      -4.523359966,      -3.773482823,      -10.33414709
          0,           0,          23,      -4.558638714,      -4.312095763,      -4.548309456,       -3.78704672,      -10.35760879
          0,           0,          24,      -4.572310831,      -4.321251632,      -4.569950933,      -3.799995905,      -10.38834767
          0,           0,          25,      -4.582065779,       -4.32957526,       -4.58609056,      -3.809172498,       -10.4263052
          0,           0,          26,      -4.585616913,      -4.335551307,      -4.596075658,       -3.81176781,      -10.47043448
          0,           0,          27,      -4.583595333,      -4.338214725,      -4.601712859,      -3.807701179,      -10.51896275
          0,           0,          28,      -4.579712316,      -4.337779631,       -4.60682929,      -3.800406353,      -10.56747149
          0,           0,          29,      -4.578737419,      -4.335629583,      -4.615691891,      -3.794971969,      -10.60689902
          0,           0,          30,      -4.584432855,      -4.333676068,      -4.631370164,      -3.795770591,      -10.62749273
          0,           0,          31,      -4.598548708,       -4.33364814,      -4.654697221,      -3.805223593,      -10.62382285
          0,           0,          32,      -4.620553736,      -4.336708649,      -4.683491831,      -3.823552873,      -10.59882557
          0,           0,          33,      -4.647584134,      -4.343422183,      -4.712120842,      -3.848830007,      -10.56104816
          0,           0,          34,      -4.674867299,      -4.353909719,      -4.732855978,      -3.877186955,      -10.51831537
          0,           0,          35,      -4.697421204,      -4.368044676,      -4.740797715,      -3.903677212,      -10.47499327
          0,           0,          36,      -4.712768524,      -4.385622477,      -4.738631792,      -3.924279063,      -10.43240236
          0,           0,          37,      -4.722454172,      -4.406460873,      -4.734725529,      -3.938164352,      -10.39041941
          0,           0,          38,      -4.730740075,      -4.430392302,      -4.737538713,      -3.948024307,      -10.34864963
          0,           0,          39,      -4.742095499,      -4.457153284,      -4.752693689,      -3.958166435,      -10.30717724
          0,           0,          40,      -4.759607423,      -4.486256921,      -4.782878617,       -3.97239862,      -10.26631696
          0,           0,          41,        -4.7846537,      -4.516952013,      -4.828195784,      -3.993094211,      -10.22658993
          0,           0,          42,       -4.81708753,      -4.548332734,      -4.885607912,      -4.021150493,       -10.1881434
          0,           0,          43,      -4.855472867,      -4.579582155,      -4.947256636,      -4.056226974,      -10.15115075
          0,           0,          44,      -4.897327411,      -4.610242062,      -4.999740381,      -4.096971394,      -10.11575387
          0,           0,          45,      -4.939513321,      -4.640330536,       -5.03068293,      -4.141104358,      -10.08209464
          0,           0,          46,      -4.979124187,      -4.670184055,      -5.041066361,      -4.185577981,      -10.05044232
          0,           0,          47,      -5.014348383,       -4.70014041,       -5.04426192,      -4.227045002,      -10.02091444
          0,           0,          48,      -5.044987771,      -4.730256449,      -5.053287413,      -4.262895832,      -9.993550244
          0,           0,          49,      -5.072414348,      -4.760203498,      -5.075056772,      -4.292441422,      -9.968592777
          0,           0,          50,      -5.099010732,      -4.789407427,       -5.11149331,      -4.317397118,      -9.946174042
          0,           0,          51,      -5.127336432,      -4.817384538,      -5.161184823,      -4.341102783,       -9.92634101
          0,           0,          52,      -5.159380729,      -4.844076914,      -5.219884486,      -4.367064286,      -9.909157888
          0,           0,          53,      -5.196041225,      -4.869972608,      -5.280703063,      -4.397765283,      -9.894637023
          0,           0,          54,      -5.237090061,      -4.895943189,      -5.335811138,      -4.434289576,      -9.882804894
          0,           0,          55,      -5.281294186,      -4.922904276,      -5.380703313,       -4.47629666,      -9.873705499
          0,           0,          56,      -5.326584855,      -4.951459314,      -5.417426756,      -4.522002692,      -9.867222263
          0,           0,          57,      -5.370442433,      -4.981702318,      -5.452097391,      -4.568344266,      -9.863284722
          0,           0,          58,      -5.410498228,      -5.013250751,      -5.489505562,      -4.611642663,      -9.861888523
          0,           0,          59,      -5.445278982,      -5.045436433,      -5.529919734,      -4.648912588,      -9.862937095
          0,           0,          60,        -5.4746326,      -5.077560316,      -5.568755762,      -4.679174373,      -9.866352431
          0,           0,          61,      -5.499460609,      -5.109111271,       -5.59897506,      -4.703638091,      -9.871666091
          0,           0,          62,      -5.521065837,      -5.139856966,      -5.616416247,      -4.724610677,      -9.878376201
          0,           0,          63,      -5.540660759,      -5.169772169,      -5.624012287,      -4.744163969,      -9.885926475
          0,           0,          64,      -5.559239831,      -5.198865567,       -5.62964404,      -4.763481015,      -9.894105306
          0,           0,          65,       -5.57771347,      -5.227041029,      -5.640904688,      -4.783003084,      -9.902480326
          0,           0,          66,      -5.597008807,      -5.254091652,       -5.66234716,      -4.802916468,      -9.911025147
          0,           0,          67,       -5.61799928,      -5.279830532,      -5.695262583,      -4.823537742,      -9.919764449
          0,           0,          68,      -5.641254297,      -5.304275702,       -5.73782771,      -4.845363963,      -9.928901773
          0,           0,          69,      -5.666716977,       -5.32778037,      -5.784628074,      -4.868819915,      -9.938633067
          0,           0,          70,      -5.693486827,      -5.351027552,      -5.826382387,      -4.893923273,      -9.949387697
          0,           0,          71,       -5.71983728,      -5.374896558,      -5.852743519,      -4.920049154,      -9.961482437
          0,           0,          72,      -5.743641991,      -5.400255886,      -5.859419103,      -4.945919423,      -9.975368467
          0,           0,          73,      -5.763082549,      -5.427733394,      -5.851906825,      -4.969799382,      -9.991191748
          0,           0,          74,      -5.777247762,      -5.457520949,      -5.839917084,      -4.989899349,      -10.00920684
          0,           0,          75,      -5.786373266,      -5.489282581,      -5.830683467,      -5.004987328,      -10.02953319
          0,           0,          76,      -5.791624658,      -5.522167743,       -5.82733752,       -5.01490339,      -10.05227646
          0,           0,          77,      -5.794534756,      -5.554921926,      -5.830118828,      -5.020570726,      -10.07736991
          0,           0,          78,      -5.796520468,      -5.586107942,       -5.83771231,      -5.023569039,      -10.10473753
          0,           0,          79,      -5.798582661,         -5.614427,      -5.848229361,      -5.025527193,        -10.134168
          0,           0,          80,      -5.801195733,      -5.639050403,      -5.859877083,      -5.027657105,       -10.1653696
          0,           0,          81,       -5.80434195,       -5.65980047,      -5.871395736,      -5.030558051,      -10.19801311
          0,           0,          82,      -5.807621018,      -5.677083652,      -5.882173683,      -5.034231745,      -10.23161543
          0,           0,          83,      -5.810369562,      -5.691621252,       -5.89203502,      -5.038186179,      -10.26575792
          0,           0,          84,      -5.811761914,       -5.70419868,      -5.900949884,      -5.041580782,      -10.29986232
          0,           0,          85,      -5.811176115,      -5.715519456,      -5.908846624,       -5.04362044,      -10.33348547
          0,           0,          86,      -5.808221347,      -5.726117944,      -5.915444056,      -5.043664262,       -10.3661322
          0,           0,          87,      -5.803076751,      -5.736406681,      -5.920051327,      -5.041592626,      -10.39733808
          0,           0,          88,      -5.796082521,      -5.746744603,      -5.922062967,      -5.037554244,      -10.42675189
          0,           0,          89,      -5.788070468,      -5.757386975,      -5.920782399,      -5.032234632,       -10.4540665
          0,           0,          90,       -5.77968551,      -5.768477063,      -5.915707424,      -5.026236797,      -10.47914003
          0,           0,          91,      -5.771486465,       -5.78001989,      -5.906734401,       -5.02009938,      -10.50187704
          0,           0,          92,      -5.763707047,      -5.791850403,      -5.894375679,      -5.014038467,      -10.52218291
          0,           0,          93,      -5.756511305,      -5.803639956,      -5.879852082,      -5.008161521,      -10.54012908
          0,           0,          94,      -5.750031044,      -5.814912515,      -5.865087485,       -5.00254201,      -10.55619941
          0,           0,          95,      -5.744472399,      -5.825037936,      -5.851779783,      -4.997283186,      -10.57051222
          0,           0,          96,      -5.740123803,      -5.833328783,      -5.841646171,      -4.992617638,      -10.58344674
          0,           0,          97,      -5.737274927,      -5.839239147,      -5.836123492,      -4.988875884,      -10.59497305
          0,           0,          98,      -5.736335808,       -5.84254136,      -5.836100257,      -4.986590965,      -10.60618554
          0,           0,          99,       -5.73740476,      -5.843314998,      -5.841929839,      -4.986096639,      -10.61696469
          0,           0,         100,      -5.740584089,       -5.84214663,      -5.853357465,       -4.98776196,       -10.6265024
          0,           0,         101,      -5.745430144,      -5.839926153,      -5.869229612,      -4.991468524,      -10.63423303
          0,           0,         102,      -2.612059365,      -2.611401802,      -2.357698527,      -1.891274943,      -9.258197592
          0,           0,         103,      -3.142472061,      -3.114429478,      -2.856219286,      -2.364618305,      -9.500110018
          0,           0,         104,      -3.134021826,      -3.115528138,      -2.805561513,      -2.342743626,      -9.584422355
          0,           0,         105,      -3.289319766,      -3.257723448,      -2.832605981,      -2.484262099,      -9.591422499
          0,           0,         106,      -3.481050732,      -3.308876319,      -2.866237618,      -2.685930886,      -9.596212062
          0,           0,         107,      -3.571072595,      -3.261622592,      -2.919489851,       -2.79854653,      -9.622524234
          0,           0,         108,      -3.551275099,      -3.234094474,      -2.992165694,      -2.765183712,      -9.653923759
          0,           0,         109,      -3.539062458,      -3.243413684,      -3.072494356,      -2.735970265,      -9.662980086
          0,           0,         110,       -3.56322294,       -3.27894659,      -3.148703302,       -2.74657692,      -9.650690115
          0,           0,         111,      -3.610824942,       -3.32950996,       -3.21445909,       -2.78306385,      -9.640160255
          0,           0,         112,      -3.662207648,      -3.385241796,      -3.270734603,      -2.828399164,      -9.647919354
          0,           0,         113,      -3.703422515,      -3.437912422,      -3.322074985,      -2.871004419,      -9.674581877
          0,           0,         114,      -3.733786704,      -3.483052615,      -3.372933223,       -2.90836979,      -9.711021009
          0,           0,         115,      -3.761600346,       -3.52027938,      -3.426721185,      -2.945209495,      -9.745323303
          0,           0,         116,      -3.794724533,      -3.550403907,      -3.485857487,      -2.987625482,      -9.769012704
          0,           0,         117,      -3.836955095,      -3.573155958,      -3.551463044,      -3.039168357,      -9.781945882
          0,           0,         118,      -3.889002694,      -3.587943866,      -3.622815244,      -3.100058964,      -9.793306458
          0,           0,         119,      -3.950069322,      -3.595763179,      -3.696969484,      -3.167732004,      -9.809861356
          0,           0,         120,      -4.018442821,      -3.599697627,      -3.769204282,       -3.23743217,      -9.833851273
          0,           0,         121,      -4.091028612,      -3.603698305,      -3.834935415,      -3.302848148,      -9.863639044
          0,           0,         122,      -4.162321585,      -3.611117734,      -3.892141312,      -3.357514794,      -9.895261258
          0,           0,         123,      -4.224197266,      -3.623998837,      -3.941689546,      -3.397250368,      -9.924043502
          0,           0,         124,      -4.268871661,      -3.643011794,      -3.984863039,      -3.422152389,      -9.948132889
          0,           0,         125,      -4.294546778,       -3.66761359,      -4.020776099,      -3.436102477,      -9.964716153
          0,           0,         126,      -4.307213508,      -3.696200856,      -4.046619779,      -3.444358418,      -9.976008636
          0,           0,         127,      -4.315759857,      -3.726336338,      -4.060866555,      -3.451444928,      -9.984636688
          0,           0,         128,      -4.326793721,      -3.755303935,       -4.06613005,      -3.460283358,       -9.99480207
          0,           0,         129,      -4.343366095,      -3.781098819,      -4.068352459,      -3.472386934,      -10.00975656
          0,           0,         130,       -4.36598321,       -3.80342453,      -4.073788109,      -3.488528656,      -10.02613666
          0,           0,         131,      -4.393909076,      -3.823889758,       -4.08703817,      -3.509325163,      -10.04418097
          0,           0,         132,      -4.426117341,      -3.845201791,      -4.110786121,      -3.535499812,      -10.06097088
          0,           0,         133,      -4.461849471,      -3.870048704,      -4.146217871,      -3.567848001,      -10.07369105
          0,           0,         134,      -4.500717316,       -3.90035264,      -4.193381003,      -3.606964218,      -10.07892985
          0,           0,         135,      -4.542405929,      -3.937000926,      -4.251201185,      -3.652838334,      -10.07489478
          0,           0,         136,      -4.586189549,       -3.97981957,         -4.317085,       -3.70438491,      -10.06402143
          0,           0,         137,      -4.630452303,      -4.027576106,      -4.386229351,       -3.75890642,      -10.04878699
          0,           0,         138,      -4.672522269,      -4.078037464,      -4.451402851,      -3.811788926,      -10.03342217
          0,           0,         139,      -4.709289366,      -4.128311671,      -4.504951159,      -3.857367445,      -10.01902101
          0,           0,         140,      -4.738808973,      -4.175675339,      -4.543470636,      -3.891774476,      -10.00755831
          0,           0,         141,      -4.761658746,      -4.218603481,      -4.570552696,      -3.915770208,      -10.00146654
          0,           0,         142,      -4.780744559,      -4.257340769,      -4.593744347,      -3.934255026,      -10.00014453
          0,           0,         143,      -4.799700552,      -4.293626351,      -4.619783621,      -3.953076651,      -10.00201128
          0,           0,         144,      -4.821140274,      -4.329799422,      -4.652475097,      -3.976383171,      -10.00640777
          0,           0,         145,      -4.846115521,      -4.367882096,      -4.692664432,      -4.005976575,      -10.01301725
          0,           0,         146,      -4.873955541,      -4.409031417,      -4.738663249,      -4.041356739,      -10.02238979
          0,           0,         147,      -4.902701046,      -4.453357734,      -4.786636416,      -4.080054204,       -10.0345962
          0,           0,         148,      -4.929809354,      -4.499988099,       -4.83158956,      -4.118120529,      -10.04908458
          0,           0,         149,      -4.953243019,      -4.547317766,      -4.869530949,      -4.151355131,      -10.06556241
          0,           0,         150,      -4.972447082,      -4.593409046,      -4.899925168,      -4.177227205,      -10.08380083
          0,           0,         151,      -4.988640164,      -4.636507731,      -4.925982925,       -4.19625776,      -10.10457246
          0,           0,         152,      -5.004027257,      -4.675555773,      -4.952596943,      -4.211401964,      -10.12592825
          0,           0,         153,      -5.020815003,      -4.710485764,      -4.983934188,      -4.226280576,      -10.14980955
          0,           0,         154,      -5.040480561,      -4.742145188,      -5.022216257,      -4.243678096,      -10.17474817
          0,           0,         155,      -5.063460811,      -4.771918621,      -5.067388754,      -4.264986359,       -10.2013172
          0,           0,         156,      -5.089279179,      -4.801262581,       -5.11700781,       -4.29036849,      -10.22920015
          0,           0,         157,      -5.116695148,       -4.83137603,      -5.166202641,       -4.31904013,      -10.25833453
          0,           0,         158,      -5.144053409,      -4.863046784,      -5.208485008,      -4.349615011,      -10.28872646
          0,           0,         159,      -5.169686407,       -4.89660751,      -5.238312487,      -4.380346692,      -10.31987321
          0,           0,         160,      -5.192314563,      -4.931929474,      -5.254515665,        -4.4093241,      -10.35267563
          0,           0,         161,      -5.211197655,      -4.968431906,      -5.260822674,      -4.434654675,      -10.38520323
          0,           0,         162,      -5.226355004,      -5.005124803,      -5.262968076,      -4.454992599,      -10.41679827
          0,           0,         163,      -5.238475908,      -5.040727642,      -5.265766448,      -4.469994099,      -10.44648455
          0,           0,         164,      -5.248813544,      -5.073911601,      -5.272412757,      -4.480617839,      -10.47315845
          0,           0,         165,       -5.25890541,       -5.10363056,      -5.284685853,      -4.488859403,      -10.49554507
          0,           0,         166,      -5.270290618,      -5.129413863,      -5.303595275,      -4.497142645,      -10.51278543
          0,           0,         167,      -5.284195862,      -5.151471862,      -5.329681564,      -4.507625805,      -10.52633222
          0,           0,         168,      -5.301465809,      -5.170579378,      -5.363040093,       -4.52187926,      -10.53642177
          0,           0,         169,      -5.322307722,       -5.18779537,      -5.403198364,      -4.540601762,      -10.54415181
          0,           0,         170,      -5.346299475,      -5.204210412,      -5.449032895,      -4.563660735,       -10.5504051
          0,           0,         171,      -5.372488002,      -5.220782494,      -5.498367084,      -4.590230839,      -10.55582595
          0,           0,         172,      -5.399636924,      -5.238286622,      -5.547884562,      -4.619054884,      -10.56088518
          0,           0,         173,      -5.426323627,      -5.257310281,      -5.593283735,       -4.64857572,      -10.56617477
