"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.273231279,      -15.14251409,      -15.42019075,       -3.55255588,      -8.648187352
          0,           0,           1,      -4.695143749,      -3.832469476,      -4.375411357,      -3.855362906,      -9.062830038
          0,           0,           2,      -4.759902159,      -4.024655802,      -4.752565799,      -4.005064468,      -9.661921372
          0,           0,           3,      -4.690468032,      -4.197353715,      -4.585084574,       -3.94803014,      -10.36264535
          0,           0,           4,       -4.58510986,       -4.32025161,      -4.484007587,      -3.844150174,      -10.54926114
          0,           0,           5,      -4.518784769,      -4.388684835,      -4.451063075,       -3.77473696,       -10.5978257
          0,           0,           6,      -4.492735541,      -4.424638084,      -4.468427801,      -3.743266069,       -10.5928807
          0,           0,           7,       -4.48493227,      -4.443442831,       -4.49548667,      -3.729476387,      -10.58273221
          0,           0,           8,      -4.475645492,      -4.447157595,       -4.49719101,      -3.716220539,      -10.57735594
          0,           0,           9,      -4.458555495,      -4.437794024,      -4.475996488,      -3.697576411,      -10.56946357
          0,           0,          10,      -4.438772861,      -4.420134178,      -4.452723224,      -3.677069113,      -10.55154648
          0,           0,          11,      -4.421399119,      -4.399507197,      -4.437779877,      -3.658669029,      -10.52539212
          0,           0,          12,      -4.408098946,      -4.379474308,      -4.430141598,      -3.644121533,      -10.49608639
          0,           0,          13,      -4.398862219,      -4.360679758,      -4.425567153,      -3.633765768,      -10.46622308
          0,           0,          14,      -4.393963499,      -4.342278474,      -4.421239419,      -3.627968191,        -10.435568
          0,           0,          15,      -4.394700113,      -4.324321174,       -4.41680459,      -3.628015093,      -10.40381237
          0,           0,          16,      -4.402146594,      -4.307842567,      -4.413050502,      -3.635069338,      -10.37090631
          0,           0,          17,      -4.415005226,      -4.293078272,      -4.410281701,      -3.647875647,       -10.3375785
          0,           0,          18,      -4.428654228,      -4.278952235,       -4.40808447,      -3.661457947,      -10.30545135
          0,           0,          19,      -4.437379909,      -4.264573299,      -4.406397949,        -3.6693281,      -10.27588254
          0,           0,          20,      -4.438847693,      -4.250650512,      -4.406491268,      -3.668766174,      -10.24913595
          0,           0,          21,      -4.435702823,      -4.238944637,       -4.41042495,      -3.662994248,      -10.22544631
          0,           0,          22,      -4.432213395,      -4.230657908,      -4.419391357,      -3.657191528,      -10.20560383
          0,           0,          23,      -4.430514842,      -4.225664677,      -4.432295682,      -3.654000656,      -10.19019151
